id,"name","gridImage", "description"
1, "Administrator", "Administration.png",
2, "City Attorney's Office", "City-Attorney-Office.png",
3, "City Clerk's Office", "City-Clerk-Office.png",
4, "Community Development", "Community-Development.png",
5, "Economic Development", "Economic-Development.png",
6, "Finance", "Finance.png",
7, "Human Resource", "Human-Resource.png",
8, "Internships", "Internships.png",
9, "Library", "Library.png",
10, "Public Safety-Fire", "Public-Safety-Fire.png",
11, "Public Safety-Police", "Public-Safety-Police.png",
12, "Public Works", "Public-Works.png",
13, "Recreation", "Recreation.png",
14, "Solid Waste Recycling", "Solid-Waste-Recycling.png",
15, "Transportation Services", "Transportation-Services.png",
16, "Utilities Electric", "Utilities-Electric.png",
17, "Utilities Water", "Utilities-Water.png",
