cityName,cityPrefix,stateName,stateAbbreviation,county1Name,county2Name,county3Name,county4Name,county5Name
Adelanto,City of,California,CA,San Bernardino County,,,,
Agoura Hills,City of,California,CA,Los Angeles County,,,,
Alameda,City of,California,CA,Alameda County,,,,
Albany,City of,California,CA,Alameda County,,,,
Alhambra,City of,California,CA,Los Angeles County,,,,
Alturas,City of,California,CA,Modoc County,,,,
Amador City,City of,California,CA,Amador County,,,,
American Canyon,City of,California,CA,Napa County,,,,
Anaheim,City of,California,CA,Orange County,,,,
Anderson,City of,California,CA,Shasta County,,,,
Angels Camp,City of,California,CA,Calaveras County,,,,
Antioch,City of,California,CA,Contra Costa County,,,,
Apple Valley,Town of,California,CA,San Bernardino County,,,,
Arcadia,City of,California,CA,Los Angeles County,,,,
Arcata,City of,California,CA,Humboldt County,,,,
Arroyo Grande,City of,California,CA,San Luis Obispo County,,,,
Artesia,City of,California,CA,Los Angeles County,,,,
Arvin,City of,California,CA,Kern County,,,,
Atascadero,City of,California,CA,San Luis Obispo County,,,,
Atherton,Town of,California,CA,San Mateo County,,,,
Atwater,City of,California,CA,Merced County,,,,
Auburn,City of,California,CA,Placer County,,,,
Avalon,City of,California,CA,Los Angeles County,,,,
Avenal,City of,California,CA,Kings County,,,,
Azusa,City of,California,CA,Los Angeles County,,,,
Bakersfield,City of,California,CA,Kern County,,,,
Baldwin Park,City of,California,CA,Los Angeles County,,,,
Banning,City of,California,CA,Riverside County,,,,
Barstow,City of,California,CA,San Bernardino County,,,,
Beaumont,City of,California,CA,Riverside County,,,,
Bell,City of,California,CA,Los Angeles County,,,,
Bell Gardens,City of,California,CA,Los Angeles County,,,,
Bellflower,City of,California,CA,Los Angeles County,,,,
Belmont,City of,California,CA,San Mateo County,,,,
Belvedere,City of,California,CA,Marin County,,,,
Benicia,City of,California,CA,Solano County,,,,
Berkeley,City of,California,CA,Alameda County,,,,
Beverly Hills,City of,California,CA,Los Angeles County,,,,
Big Bear Lake,City of,California,CA,San Bernardino County,,,,
Biggs,City of,California,CA,Butte County,,,,
Bishop,City of,California,CA,Inyo County,,,,
Blue Lake,City of,California,CA,Humboldt County,,,,
Blythe,City of,California,CA,Riverside County,,,,
Bradbury,City of,California,CA,Los Angeles County,,,,
Brawley,City of,California,CA,Imperial County,,,,
Brea,City of,California,CA,Orange County,,,,
Brentwood,City of,California,CA,Contra Costa County,,,,
Brisbane,City of,California,CA,San Mateo County,,,,
Buellton,City of,California,CA,Santa Barbara County,,,,
Buena Park,City of,California,CA,Orange County,,,,
