"id","city_id","name","slug"
"1","28096","Administrative Services","administrative-services"
"2","28096","City Clerk","city-clerk"
"3","28096","Community Development","community-development"
"4","28096","Community Services","community-services"
"5","28096","Electric Utility","electric-utility"
"6","28096","Office of City Manager","office-of-city-manager"
"7","28096","Police","police"
"8","28096","Airport","airport"
"9","28096","Public Works","public-works"
"10","28098","Administration","administration"
"11","28098","Animal Care","animal-care"
"12","28098","Community Development","community-development-1"
"13","28098","Community Services","community-services-1"
"14","28098","Finance","finance"
"15","28098","Fire","fire"
"16","28098","Police ","police-1"
"17","28098","Code Enforcement","code-enforcement"
"18","28098","Public Works","public-works-1"
"19","28098","Transit","transit"
"20","28099","Administration","administration-1"
"21","28099","Development Services","development-services"
"22","28099","Finance","finance-1"
"23","28099","Fire","fire-1"
"24","28099","Police","police-2"
"25","28099","Public Works","public-works-2"
"26","28099","Recreation","recreation"
"27","28149","City Manager","city-manager"
"28","28149","City Clerk / Human Resources","city-clerk-human-resources"
"29","28149","Finance","finance-2"
"30","28149","Public Works","public-works-3"
"31","28149","Fire","fire-2"
"32","28149","Community Development","community-development-2"
"33","28149","Senior Services","senior-services"
"34","28064","City Attorney","city-attorney"
"35","28064","City Manager / City Communications","city-manager-city-communications"
"36","28064","City Manager / Policy and Leadership ","city-manager-policy-and-leadership"
"37","28064","Community Services","community-services-2"
"38","28064","Finance","finance-3"
"39","28064","Fire","fire-3"
"40","28064","Housing and Neighborhood Services","housing-and-neighborhood-services"
"41","28064","Human Resources","human-resources"
"42","28064","Information Technology","information-technology"
"43","28064","Library and Cultural Arts","library-and-cultural-arts"
"44","28064","Parks and Recreation","parks-and-recreation"
"45","28064","Police","police-3"
"46","28064","Public Works","public-works-4"
"47","28045","Administration","administration-2"
"48","28045","Animal Care Facility","animal-care-facility"
"49","28045","City Attorney","city-attorney-1"
"50","28045","City Clerk","city-clerk-1"
"51","28045","Development Services ","development-services-1"
"52","28045","Economic Development","economic-development"
"53","28045","Environmental Services","environmental-services"
"54","28045","Finance","finance-4"
"55","28045","Fire","fire-4"
"56","28045","Housing","housing"
"57","28045","Human Resources","human-resources-1"
"58","28045","Information Technology Services","information-technology-services"
"59","28045","Library","library"
"60","28045","Planning and Building Services","planning-and-building-services"
"61","28045","Police","police-4"
"62","28045","Public Works","public-works-5"
"63","28045","Recreation","recreation-1"
"64","28230","City Clerk","city-clerk-2"
"65","28230","City Manager","city-manager-1"
