"name","slug","is_general"
"Administration And Management","administration-and-management",1
"Administrative and Analytical","administrative-and-analytical",1
"Administrative and Supervisory","administrative-and-supervisory",1
"Coordinator","coordinator",1
"Clerical and Administrative Support","clerical-and-administrative-support",1
"Skilled Trades and Technicians","skilled-trades-and-technicians",1
"Inspections","inspections",1
"Construction Trade","construction-trade",1
"Program Management ","program-management ",1
"Project Management ","project-management",1
"Engineering ","engineering",1
"Maintenance ","maintenance",1
